sequence,step,example_name,model,accuracy,precision,recall,f1,misclassified_examples
canonical_first,1,tomato_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,1,tomato_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,1,tomato_soup,case_based,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,1,tomato_soup,hybrid,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,2,chicken_noodle_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,2,chicken_noodle_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,2,chicken_noodle_soup,case_based,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,2,chicken_noodle_soup,hybrid,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,3,miso_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,3,miso_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,3,miso_soup,case_based,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,3,miso_soup,hybrid,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
canonical_first,4,smoothie,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,4,smoothie,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,4,smoothie,case_based,0.5,0.429,1.0,0.6,"lentil_stew, oatmeal, fruit_soup, gravy"
canonical_first,4,smoothie,hybrid,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,5,hot_chocolate,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,5,hot_chocolate,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,5,hot_chocolate,case_based,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,5,hot_chocolate,hybrid,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,6,cereal_with_milk,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,6,cereal_with_milk,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,6,cereal_with_milk,case_based,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,6,cereal_with_milk,hybrid,0.75,0.6,1.0,0.75,"lentil_stew, gravy"
canonical_first,7,vegetable_broth,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,7,vegetable_broth,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,7,vegetable_broth,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
canonical_first,7,vegetable_broth,hybrid,0.875,0.75,1.0,0.857,lentil_stew
canonical_first,8,gazpacho,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
canonical_first,8,gazpacho,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
canonical_first,8,gazpacho,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
canonical_first,8,gazpacho,hybrid,0.875,0.75,1.0,0.857,lentil_stew
boundary_first,1,gazpacho,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,1,gazpacho,bottom_up,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
boundary_first,1,gazpacho,case_based,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
boundary_first,1,gazpacho,hybrid,0.375,0.375,1.0,0.545,"lentil_stew, oatmeal, fruit_soup, gravy, iced_coffee"
boundary_first,2,vegetable_broth,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,2,vegetable_broth,bottom_up,0.5,0.429,1.0,0.6,"lentil_stew, oatmeal, fruit_soup, iced_coffee"
boundary_first,2,vegetable_broth,case_based,0.5,0.429,1.0,0.6,"lentil_stew, oatmeal, fruit_soup, iced_coffee"
boundary_first,2,vegetable_broth,hybrid,0.75,0.6,1.0,0.75,"lentil_stew, fruit_soup"
boundary_first,3,cereal_with_milk,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,3,cereal_with_milk,bottom_up,0.5,0.429,1.0,0.6,"lentil_stew, fruit_soup, gravy, iced_coffee"
boundary_first,3,cereal_with_milk,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
boundary_first,3,cereal_with_milk,hybrid,0.875,0.75,1.0,0.857,lentil_stew
boundary_first,4,tomato_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,4,tomato_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,4,tomato_soup,case_based,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,4,tomato_soup,hybrid,0.75,0.6,1.0,0.75,"lentil_stew, gravy"
boundary_first,5,smoothie,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,5,smoothie,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,5,smoothie,case_based,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,5,smoothie,hybrid,0.75,0.6,1.0,0.75,"lentil_stew, gravy"
boundary_first,6,miso_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,6,miso_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,6,miso_soup,case_based,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,6,miso_soup,hybrid,0.75,0.6,1.0,0.75,"lentil_stew, gravy"
boundary_first,7,hot_chocolate,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,7,hot_chocolate,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,7,hot_chocolate,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
boundary_first,7,hot_chocolate,hybrid,0.875,0.75,1.0,0.857,lentil_stew
boundary_first,8,chicken_noodle_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
boundary_first,8,chicken_noodle_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
boundary_first,8,chicken_noodle_soup,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
boundary_first,8,chicken_noodle_soup,hybrid,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,1,smoothie,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,1,smoothie,bottom_up,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
negatives_first,1,smoothie,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,1,smoothie,hybrid,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,2,hot_chocolate,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,2,hot_chocolate,bottom_up,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
negatives_first,2,hot_chocolate,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,2,hot_chocolate,hybrid,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,3,cereal_with_milk,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,3,cereal_with_milk,bottom_up,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,3,cereal_with_milk,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,3,cereal_with_milk,hybrid,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,4,vegetable_broth,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,4,vegetable_broth,bottom_up,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
negatives_first,4,vegetable_broth,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,4,vegetable_broth,hybrid,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,5,tomato_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,5,tomato_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
negatives_first,5,tomato_soup,case_based,0.625,0.0,0.0,0.0,"ramen_broth, clam_chowder, split_pea_soup"
negatives_first,5,tomato_soup,hybrid,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,6,chicken_noodle_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,6,chicken_noodle_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
negatives_first,6,chicken_noodle_soup,case_based,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,6,chicken_noodle_soup,hybrid,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,7,miso_soup,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,7,miso_soup,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
negatives_first,7,miso_soup,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
negatives_first,7,miso_soup,hybrid,0.875,0.75,1.0,0.857,lentil_stew
negatives_first,8,gazpacho,top_down,0.625,0.5,1.0,0.667,"lentil_stew, fruit_soup, gravy"
negatives_first,8,gazpacho,bottom_up,0.625,0.5,1.0,0.667,"lentil_stew, oatmeal, gravy"
negatives_first,8,gazpacho,case_based,0.75,0.6,1.0,0.75,"lentil_stew, oatmeal"
negatives_first,8,gazpacho,hybrid,0.875,0.75,1.0,0.857,lentil_stew
